valor,inicio,num_apostas,valorApostado,valorGanho,diferenca,result,minutos_decorridos,dia,mes,dia_da_semana
1.65,1754136294,6691,25457.86,-4708.1,20749.76,0,544,2,8,5
3.34,1754136328,4762,26927.26,-32411.38,-5484.12,1,545,2,8,5
2.12,1754136354,6676,31567.65,-14269.06,17298.59,1,545,2,8,5
1.19,1754136376,5245,31409.55,-401.88,31007.67,0,546,2,8,5
4.76,1754136393,6094,34708.06,-47159.66,-12451.6,1,546,2,8,5
3.0,1754136428,7746,43398.9,-44707.01,-1308.11,1,547,2,8,5
1.04,1754136452,6672,29504.91,-51.01,29453.9,0,547,2,8,5
1.25,1754136469,6596,33528.44,-1234.17,32294.27,0,547,2,8,5
4.57,1754136485,6478,33533.94,-57391.82,-23857.88,1,548,2,8,5
1.14,1754136516,8025,42781.75,-1122.3,41659.45,0,548,2,8,5
2.23,1754136534,6664,30529.91,-16008.36,14521.55,1,548,2,8,5
1.52,1754136552,6075,32185.64,-2696.18,29489.46,0,549,2,8,5
1.39,1754136571,5196,34028.72,-742.92,33285.8,0,549,2,8,5
10.03,1754136584,6761,36521.95,-83921.25,-47399.3,1,549,2,8,5
7.83,1754136624,7150,32584.91,-70667.09,-38082.18,1,550,2,8,5
1.0,1754136661,7437,31705.22,-0.0,31705.22,0,551,2,8,5
2.56,1754136677,6153,26222.59,-18008.38,8214.21,1,551,2,8,5
45.54,1754136697,7355,33369.59,-116590.72,-83221.13,1,551,2,8,5
3.23,1754136760,7384,27659.27,-30444.46,-2785.19,1,552,2,8,5
5.54,1754136785,6488,27316.01,-48665.6,-21349.59,1,553,2,8,5
3.25,1754136817,6690,29004.32,-28994.12,10.2,1,553,2,8,5
6.24,1754136844,7367,33835.13,-64841.91,-31006.78,1,554,2,8,5
4.26,1754136881,7918,33211.3,-54172.16,-20960.86,1,554,2,8,5
7.53,1754136909,7462,569831.12,-614138.18,-44307.06,1,555,2,8,5
1.16,1754136947,7986,561513.92,-8878.74,552635.18,0,555,2,8,5
5.84,1754136966,5465,348028.15,-341994.8,6033.35,1,556,2,8,5
3.55,1754137002,7610,421344.99,-561654.0,-140309.01,1,556,2,8,5
20.86,1754137029,6361,407364.2,-646824.84,-239460.64,1,557,2,8,5
1.15,1754137077,7378,421624.28,-6471.61,415152.67,0,557,2,8,5
1.01,1754137100,4808,314179.74,-0.0,314179.74,0,558,2,8,5
1.0,1754137108,6014,360130.05,-0.0,360130.05,0,558,2,8,5
3.95,1754137126,5527,30689.15,-40075.69,-9386.54,1,558,2,8,5
2.81,1754137158,7425,28717.48,-26070.89,2646.59,1,559,2,8,5
1.41,1754137182,5565,23826.32,-916.79,22909.53,0,559,2,8,5
1.21,1754137198,5839,24525.79,-148.3,24377.49,0,559,2,8,5
22.11,1754137215,6047,26615.37,-79528.27,-52912.9,1,560,2,8,5
1.4,1754137263,8240,31533.91,-1542.51,29991.4,0,561,2,8,5
1.08,1754137286,6132,21311.28,-97.87,21213.41,0,561,2,8,5
2.66,1754137384,5891,31543.93,-21765.15,9778.78,1,563,2,8,5
1.0,1754137413,7012,29382.75,-0.0,29382.75,0,563,2,8,5
1.3,1754137428,6035,29040.43,-725.73,28314.7,0,563,2,8,5
8.93,1754137442,6138,29756.56,-71152.3,-41395.74,1,564,2,8,5
8.11,1754137477,7641,32187.61,-82185.86,-49998.25,1,564,2,8,5
5.0,1754137516,7819,38177.3,-60902.4,-22725.1,1,565,2,8,5
1.33,1754137546,6923,31395.22,-2043.52,29351.7,0,565,2,8,5
1.83,1754137564,5968,30897.67,-7053.63,23844.04,0,566,2,8,5
1.36,1754137586,5314,33577.83,-2456.57,31121.26,0,566,2,8,5
3.27,1754137598,6311,27834.2,-27972.07,-137.87,1,566,2,8,5
3.61,1754137624,7229,31881.29,-51548.32,-19667.03,1,567,2,8,5
2.39,1754137651,8027,36414.35,-28313.09,8101.26,1,567,2,8,5
1.16,1754137678,5794,28465.65,-447.9,28017.75,0,567,2,8,5
1.46,1754137690,5742,28676.9,-1897.21,26779.69,0,568,2,8,5
1.88,1754137710,5898,29823.81,-10643.8,19180.01,0,568,2,8,5
31.06,1754137728,6580,34897.52,-110785.04,-75887.52,1,568,2,8,5
2.19,1754137784,8989,39898.57,-24771.52,15127.05,1,569,2,8,5
1.84,1754137806,6291,27554.69,-7158.59,20396.1,0,570,2,8,5
2.1,1754137826,6582,30685.98,-18584.45,12101.53,1,570,2,8,5
3.11,1754137851,5694,41859.03,-43574.01,-1714.98,1,570,2,8,5
1.35,1754137874,8588,35533.56,-2260.58,33272.98,0,571,2,8,5
1.23,1754137894,5812,37216.19,-333.39,36882.8,0,571,2,8,5
7.27,1754137905,6202,32388.0,-65464.77,-33076.77,1,571,2,8,5
3.89,1754137939,8646,41661.18,-60148.59,-18487.41,1,572,2,8,5
15.79,1754137972,7332,31283.63,-78114.99,-46831.36,1,572,2,8,5
2.97,1754138017,8790,37183.79,-39610.93,-2427.14,1,573,2,8,5
6.5,1754138046,5464,30822.48,-56857.44,-26034.96,1,574,2,8,5
1.2,1754138078,8945,35801.9,-266.24,35535.66,0,574,2,8,5
1.66,1754138098,6592,30681.27,-3083.06,27598.21,0,574,2,8,5
1.12,1754138118,5148,26078.55,-203.67,25874.88,0,575,2,8,5
1.51,1754138125,5813,29610.69,-3272.19,26338.5,0,575,2,8,5
1.1,1754138146,5642,33292.14,-664.64,32627.5,0,575,2,8,5
2.56,1754138157,5980,34047.24,-20314.39,13732.85,1,575,2,8,5
1.0,1754138183,6945,37770.61,-0.0,37770.61,0,576,2,8,5
1.77,1754138194,6242,28811.69,-6187.72,22623.97,0,576,2,8,5
8.67,1754138214,6238,33042.1,-69566.87,-36524.77,1,576,2,8,5
9.48,1754138252,8510,37921.95,-87322.55,-49400.6,1,577,2,8,5
1.08,1754138292,8690,40157.58,-143.93,40013.65,0,578,2,8,5
2.19,1754138309,6624,36900.34,-20098.94,16801.4,1,578,2,8,5
3.81,1754138341,6534,36357.56,-51630.06,-15272.5,1,579,2,8,5
1.65,1754138367,7912,34621.64,-5716.68,28904.96,0,579,2,8,5
1.07,1754138391,5067,27609.75,-287.6,27322.15,0,579,2,8,5
3.04,1754138399,6173,36754.93,-32855.2,3899.73,1,579,2,8,5
1.34,1754138425,7734,46561.99,-975.87,45586.12,0,580,2,8,5
1.02,1754138447,5762,37832.85,-18.61,37814.24,0,580,2,8,5
6.96,1754138459,5994,42230.86,-84688.89,-42458.03,1,580,2,8,5
3.18,1754138491,7518,36695.08,-44632.48,-7937.4,1,581,2,8,5
1.5,1754138517,6910,36529.94,-5314.63,31215.31,0,581,2,8,5
2.54,1754138535,6525,32768.34,-21987.49,10780.85,1,582,2,8,5
1.19,1754138561,7142,41566.51,-908.41,40658.1,0,582,2,8,5
2.68,1754138575,6670,42799.08,-36870.57,5928.51,1,582,2,8,5
3.96,1754138597,6315,29101.9,-38800.29,-9698.39,1,583,2,8,5
1.94,1754138628,7289,37660.52,-7923.69,29736.83,0,583,2,8,5
1.14,1754138651,5423,32121.02,-326.58,31794.44,0,584,2,8,5
1.38,1754138661,6684,37509.68,-2521.72,34987.96,0,584,2,8,5
1.82,1754138678,5964,40178.16,-12533.1,27645.06,0,584,2,8,5
3.72,1754138694,6002,32673.77,-45534.61,-12860.84,1,584,2,8,5
5.58,1754138722,6754,36416.41,-69351.01,-32934.6,1,585,2,8,5
1.3,1754138752,6995,35681.76,-831.8,34849.96,0,585,2,8,5
2.21,1754138768,5723,35978.01,-21676.16,14301.85,1,586,2,8,5
3.37,1754138787,6712,41223.34,-46295.65,-5072.31,1,586,2,8,5
2.82,1754138816,6449,36235.74,-36564.82,-329.08,1,586,2,8,5
1.0,1754138836,7131,37142.21,-0.0,37142.21,0,587,2,8,5
80.98,1754138849,6183,39800.29,-132096.86,-92296.57,1,587,2,8,5
1.43,1754138916,7581,42017.9,-1770.9,40247.0,0,588,2,8,5
88.06,1754138934,5399,39892.09,-126490.53,-86598.44,1,588,2,8,5
1.26,1754138997,7124,32514.3,-701.46,31812.84,0,589,2,8,5
1.0,1754139017,4815,38177.14,-0.0,38177.14,0,590,2,8,5
1.14,1754139025,5821,40450.76,-512.06,39938.7,0,590,2,8,5
1.0,1754139042,5208,31602.88,-0.0,31602.88,0,590,2,8,5
1.5,1754139056,3593,26056.61,-1858.01,24198.6,0,590,2,8,5
1.52,1754139074,6593,32135.95,-3743.2,28392.75,0,591,2,8,5
1.58,1754139097,6051,34409.46,-5669.2,28740.26,0,591,2,8,5
1.0,1754139115,6282,35533.22,-0.0,35533.22,0,591,2,8,5
58.55,1754139127,5718,42965.94,-149132.63,-106166.69,1,592,2,8,5
4.29,1754139190,7517,39983.07,-48953.48,-8970.41,1,593,2,8,5
5.97,1754139217,7207,39631.61,-65654.77,-26023.16,1,593,2,8,5
1.76,1754139251,8259,38364.73,-8570.5,29794.23,0,594,2,8,5
2.51,1754139274,5454,30638.11,-20168.5,10469.61,1,594,2,8,5
1.0,1754139295,6818,40269.85,-0.0,40269.85,0,594,2,8,5
9.03,1754139313,5931,38396.38,-79212.87,-40816.49,1,595,2,8,5
1.46,1754139351,7196,34338.82,-2871.79,31467.03,0,595,2,8,5
21.26,1754139372,5917,41424.55,-118063.14,-76638.59,1,596,2,8,5
2.89,1754139417,7671,34390.04,-27450.52,6939.52,1,596,2,8,5
16.85,1754139443,5223,26497.73,-74509.08,-48011.35,1,597,2,8,5
7.82,1754139487,7690,32317.17,-65943.68,-33626.51,1,598,2,8,5
2.71,1754139526,7734,33273.11,-23051.42,10221.69,1,598,2,8,5
1.19,1754139552,5288,34225.0,-292.96,33932.04,0,599,2,8,5
2.4,1754139562,5488,32859.18,-16550.47,16308.71,1,599,2,8,5
8.28,1754139585,6953,33363.26,-65341.76,-31978.5,1,599,2,8,5
13.84,1754139623,7848,35316.82,-96140.09,-60823.27,1,600,2,8,5
7.28,1754139667,7455,32297.42,-71922.81,-39625.39,1,601,2,8,5
1.08,1754139704,8243,42494.35,-88.05,42406.3,0,601,2,8,5
1.47,1754139721,5529,34025.96,-1845.76,32180.2,0,602,2,8,5
1.52,1754139734,6084,34613.54,-2907.85,31705.69,0,602,2,8,5
5.68,1754139750,3607,22250.65,-39017.04,-16766.39,1,602,2,8,5
1.47,1754139785,7840,39415.38,-1467.82,37947.56,0,603,2,8,5
3.3,1754139810,5615,32865.31,-36568.82,-3703.51,1,603,2,8,5
13.77,1754139830,6173,25246.98,-67441.29,-42194.31,1,603,2,8,5
1.56,1754139872,6645,31067.41,-2941.74,28125.67,0,604,2,8,5
3.05,1754139897,5533,29894.31,-26179.56,3714.75,1,604,2,8,5
1.64,1754139919,7375,39067.28,-5889.97,33177.31,0,605,2,8,5
1.19,1754139942,6537,38451.86,-224.77,38227.09,0,605,2,8,5
2.33,1754139955,6460,32842.93,-18321.43,14521.5,1,605,2,8,5
1.14,1754139974,6772,35970.71,-274.54,35696.17,0,606,2,8,5
3.16,1754139991,6334,36659.13,-30989.37,5669.76,1,606,2,8,5
1.03,1754140013,8054,40241.63,-7.45,40234.18,0,606,2,8,5
47.81,1754140033,6394,40997.13,-110766.68,-69769.55,1,607,2,8,5
1.42,1754140086,7804,32627.43,-1883.94,30743.49,0,608,2,8,5
1.14,1754140109,5478,40623.47,-77.81,40545.66,0,608,2,8,5
7.12,1754140118,5797,34898.46,-75548.62,-40650.16,1,608,2,8,5
1.37,1754140153,7941,35435.64,-757.32,34678.32,0,609,2,8,5
1.51,1754140176,5676,31918.05,-2617.65,29300.4,0,609,2,8,5
2.17,1754140188,5881,42126.5,-14378.43,27748.07,1,609,2,8,5
1.0,1754140209,6701,35010.52,-0.0,35010.52,0,610,2,8,5
2.66,1754140227,5809,36594.28,-30797.78,5796.5,1,610,2,8,5
9.12,1754140250,7088,35311.44,-73677.74,-38366.3,1,610,2,8,5
12.53,1754140292,8466,45042.62,-95380.31,-50337.69,1,611,2,8,5
2.55,1754140338,7965,34564.78,-22255.31,12309.47,1,612,2,8,5
7.85,1754140371,5510,44124.66,-92128.84,-48004.18,1,612,2,8,5
1.44,1754140403,7565,36098.41,-3013.65,33084.76,0,613,2,8,5
5.79,1754140424,5720,36238.64,-51603.18,-15364.54,1,613,2,8,5
2.39,1754140455,8401,39230.91,-23165.39,16065.52,1,614,2,8,5
1.6,1754140480,6327,34437.2,-3869.58,30567.62,0,614,2,8,5
1.81,1754140501,6567,33756.24,-6599.89,27156.35,0,615,2,8,5
73.82,1754140517,6388,30317.38,-114448.84,-84131.46,1,615,2,8,5
7.1,1754140579,7880,34796.31,-75465.76,-40669.45,1,616,2,8,5
1.04,1754140618,8104,33052.36,-4660.79,28391.57,0,616,2,8,5
1.49,1754140632,5274,25466.04,-2474.82,22991.22,0,617,2,8,5
1.36,1754140646,5713,38733.55,-2516.83,36216.72,0,617,2,8,5
1.81,1754140666,5843,34620.02,-7948.33,26671.69,0,617,2,8,5
