valor,inicio,num_apostas,valorApostado,valorGanho,diferenca,result,minutos_decorridos,dia,mes,dia_da_semana
1.0,1754347560,1830,422053.08,-0.0,422053.08,0,1186,4,8,0
2.53,1754347570,1708,471575.66,-242158.2,229417.46,1,1186,4,8,0
5.66,1754347592,1996,594386.59,-1136177.84,-541791.25,1,1186,4,8,0
1.91,1754347623,2138,346301.27,-169447.63,176853.64,0,1187,4,8,0
5.47,1754347639,2023,269638.6,-536226.35,-266587.75,1,1187,4,8,0
1.11,1754347670,2243,340234.92,-23003.86,317231.06,0,1187,4,8,0
37.81,1754347682,2216,361225.02,-769747.36,-408522.34,1,1188,4,8,0
5.13,1754347735,2238,318076.8,-491785.8,-173709.0,1,1188,4,8,0
2.2,1754347764,2315,299069.19,-173110.77,125958.42,1,1189,4,8,0
1.03,1754347785,2273,317730.42,-12317.76,305412.66,0,1189,4,8,0
7.09,1754347795,2132,317516.4,-622267.8,-304751.4,1,1189,4,8,0
26.03,1754347830,2459,368666.2,-694183.7,-325517.5,1,1190,4,8,0
5.64,1754347881,2582,393953.8,-699350.32,-305396.52,1,1191,4,8,0
5.57,1754347911,2472,368802.7,-574729.4,-205926.7,1,1191,4,8,0
1.01,1754347945,2609,421832.68,-0.0,421832.68,0,1192,4,8,0
17.84,1754347956,2342,352460.2,-807457.2,-454997.0,1,1192,4,8,0
1.04,1754348001,2796,435308.8,-15641.6,419667.2,0,1193,4,8,0
1.73,1754348013,2624,446378.24,-45266.76,401111.48,0,1193,4,8,0
1.09,1754348032,2515,437158.08,-29646.0,407512.08,0,1193,4,8,0
2.22,1754348044,2247,395013.78,-133222.32,261791.46,1,1194,4,8,0
18.57,1754348063,2615,504689.62,-740820.66,-236131.04,1,1194,4,8,0
1.29,1754348109,2687,444543.76,-25402.24,419141.52,0,1195,4,8,0
15.18,1754348123,2398,397244.44,-708249.24,-311004.8,1,1195,4,8,0
2.23,1754348165,2683,470243.16,-247134.52,223108.64,1,1196,4,8,0
3.1,1754348186,2574,378423.97,-264525.72,113898.25,1,1196,4,8,0
1.32,1754348210,2771,487786.4,-42105.6,445680.8,0,1196,4,8,0
2.2,1754348226,2618,509245.6,-176714.44,332531.16,1,1197,4,8,0
1.47,1754348248,2837,520713.48,-34209.0,486504.48,0,1197,4,8,0
1.05,1754348263,2733,485595.2,-15641.6,469953.6,0,1197,4,8,0
1.43,1754348274,2400,423104.84,-13295.36,409809.48,0,1197,4,8,0
1.17,1754348288,2339,413068.4,-13099.84,399968.56,0,1198,4,8,0
1.59,1754348300,2042,302980.16,-79377.2,223602.96,0,1198,4,8,0
9426.71,1754348316,2091,322137.05,-537217.42,-215080.37,1,1198,4,8,0
2.43,1754348438,2745,395254.86,-221402.22,173852.64,1,1200,4,8,0
1.17,1754348459,2627,389400.0,-17108.25,372291.75,0,1200,4,8,0
3.91,1754348472,2249,334745.6,-477733.12,-142987.52,1,1201,4,8,0
6.55,1754348498,2592,347058.06,-585168.73,-238110.67,1,1201,4,8,0
2.31,1754348532,2640,389496.75,-357446.25,32050.5,1,1202,4,8,0
4.48,1754348554,2567,398111.86,-613073.72,-214961.86,1,1202,4,8,0
2.73,1754348585,2808,477887.8,-455663.34,22224.46,1,1203,4,8,0
1.21,1754348608,2763,470546.4,-18248.8,452297.6,0,1203,4,8,0
1.37,1754348621,2442,395487.04,-29813.61,365673.43,0,1203,4,8,0
1.0,1754348635,2229,323495.68,-0.0,323495.68,0,1203,4,8,0
2.64,1754348646,2146,304210.66,-244513.62,59697.04,1,1204,4,8,0
1.17,1754348669,2624,424637.84,-17336.36,407301.48,0,1204,4,8,0
36.52,1754348685,2247,321719.04,-523894.4,-202175.36,1,1204,4,8,0
1.44,1754348738,2583,349480.08,-63310.32,286169.76,0,1205,4,8,0
1.97,1754348756,2654,419098.2,-213284.88,205813.32,0,1205,4,8,0
1.07,1754348774,2545,429956.83,-34403.05,395553.78,0,1206,4,8,0
11.97,1754348785,2280,347051.52,-504374.4,-157322.88,1,1206,4,8,0
1.55,1754348825,2653,410509.82,-109464.5,301045.32,0,1207,4,8,0
2.0,1754348842,2478,416180.1,-164811.5,251368.6,1,1207,4,8,0
1.0,1754348860,2498,392960.15,-0.0,392960.15,0,1207,4,8,0
1.61,1754348872,2559,531874.5,-103007.25,428867.25,0,1207,4,8,0
3.02,1754348890,2379,431935.17,-512118.69,-80183.52,1,1208,4,8,0
1.0,1754348914,2485,502335.65,-0.0,502335.65,0,1208,4,8,0
10.68,1754348925,2184,392548.59,-555283.89,-162735.3,1,1208,4,8,0
1.25,1754348977,2319,397868.16,-44983.68,352884.48,0,1209,4,8,0
1.07,1754348991,2107,359418.46,-21127.08,338291.38,0,1209,4,8,0
6.08,1754349003,2247,376920.32,-620069.76,-243149.44,1,1210,4,8,0
5.05,1754349036,2225,325181.85,-590533.07,-265351.22,1,1210,4,8,0
4.9,1754349067,2437,402567.48,-708611.68,-306044.2,1,1211,4,8,0
1.29,1754349097,2503,417309.12,-90198.72,327110.4,0,1211,4,8,0
3.03,1754349113,2226,361861.92,-286184.43,75677.49,1,1211,4,8,0
3.28,1754349135,2577,402830.25,-627408.75,-224578.5,1,1212,4,8,0
1.93,1754349161,2587,407603.1,-152580.6,255022.5,0,1212,4,8,0
1.86,1754349180,2486,346657.5,-143189.96,203467.54,0,1213,4,8,0
10.31,1754349200,2408,374285.67,-627208.62,-252922.95,1,1213,4,8,0
2.58,1754349237,2586,356995.55,-393145.88,-36150.33,1,1213,4,8,0
3.87,1754349261,2375,322412.71,-480990.32,-158577.61,1,1214,4,8,0
2.21,1754349288,2542,350511.36,-343511.7,6999.66,1,1214,4,8,0
5.53,1754349310,2484,364946.4,-621097.2,-256150.8,1,1215,4,8,0
3.57,1754349340,2637,400432.6,-466140.68,-65708.08,1,1215,4,8,0
2.63,1754349367,2600,353435.84,-335759.46,17676.38,1,1216,4,8,0
1.85,1754349391,2554,357435.01,-69895.31,287539.7,0,1216,4,8,0
3.17,1754349409,2421,326560.44,-274377.81,52182.63,1,1216,4,8,0
4.02,1754349434,2663,418125.4,-651087.36,-232961.96,1,1217,4,8,0
1.71,1754349461,2776,403401.06,-37448.73,365952.33,0,1217,4,8,0
1.54,1754349479,2643,416271.18,-65990.34,350280.84,0,1217,4,8,0
3.6,1754349498,2475,390449.52,-401514.48,-11064.96,1,1218,4,8,0
1.98,1754349522,2776,405357.21,-84931.74,320425.47,0,1218,4,8,0
1.87,1754349543,2519,391269.82,-107652.98,283616.84,0,1219,4,8,0
1.02,1754349562,2512,390750.75,-17108.25,373642.5,0,1219,4,8,0
1.91,1754349572,2122,294675.46,-75558.78,219116.68,0,1219,4,8,0
2.49,1754349591,2135,315400.2,-214483.42,100916.78,1,1219,4,8,0
1.13,1754349611,2261,363183.55,-31869.89,331313.66,0,1220,4,8,0
19.94,1754349626,1919,542394.74,-789612.88,-247218.14,1,1220,4,8,0
13.75,1754349673,2212,285550.08,-453019.52,-167469.44,1,1221,4,8,0
1.02,1754349714,2407,312163.59,-15739.59,296424.0,0,1221,4,8,0
1.62,1754349725,2104,278343.0,-63144.15,215198.85,0,1222,4,8,0
