combinacao_id,acuracia,f1_score,precisao,params_str
1,0.32,0.10526315789473684,0.3333333333333333,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 0.1, 'reg_lambda': 0.1}"
2,0.52,0.4,1.0,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 0.1, 'reg_lambda': 0.5}"
3,0.44,0.36363636363636365,0.6666666666666666,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 0.1, 'reg_lambda': 1}"
4,0.48,0.43478260869565216,0.7142857142857143,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 0.5, 'reg_lambda': 0.1}"
5,0.4,0.2857142857142857,0.6,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 0.5, 'reg_lambda': 0.5}"
6,0.32,0.2608695652173913,0.42857142857142855,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 0.5, 'reg_lambda': 1}"
7,0.44,0.36363636363636365,0.6666666666666666,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 1, 'reg_lambda': 0.1}"
8,0.4,0.2857142857142857,0.6,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 1, 'reg_lambda': 0.5}"
9,0.48,0.38095238095238093,0.8,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 20, 'reg_alpha': 1, 'reg_lambda': 1}"
10,0.44,0.2222222222222222,1.0,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1}"
11,0.48,0.48,0.6666666666666666,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5}"
12,0.36,0.1111111111111111,0.5,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_alpha': 0.1, 'reg_lambda': 1}"
13,0.48,0.3157894736842105,1.0,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.1}"
14,0.4,0.11764705882352941,1.0,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5}"
15,0.52,0.45454545454545453,0.8333333333333334,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_alpha': 0.5, 'reg_lambda': 1}"
16,0.56,0.5217391304347826,0.8571428571428571,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_alpha': 1, 'reg_lambda': 0.1}"
17,0.4,0.34782608695652173,0.5714285714285714,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_alpha': 1, 'reg_lambda': 0.5}"
18,0.4,0.21052631578947367,0.6666666666666666,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'min_child_samples': 50, 'reg_alpha': 1, 'reg_lambda': 1}"
